coordinateID,geoID,geoName,longitude,latitude
c1,15,Cuauhtémoc,-99.1490557562,19.4313734294
c2,15,Cuauhtémoc,-99.1490557562,19.4313734294
c3,6,Iztacalco,-99.094329797,19.396911897
c4,15,Cuauhtémoc,-99.1490557562,19.4313734294
c5,12,Tlalpan,-99.2062207957,19.1983396763
c6,15,Cuauhtémoc,-99.1490557562,19.4313734294
c7,10,Álvaro Obregón,-99.246819712,19.336175562
c8,12,Tlalpan,-99.2062207957,19.1983396763
c9,10,Álvaro Obregón,-99.246819712,19.336175562
c10,10,Álvaro Obregón,-99.246819712,19.336175562
c11,11,Tláhuac,-99.0028216137,19.2769983772
c12,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c13,11,Tláhuac,-99.0028216137,19.2769983772
c14,11,Tláhuac,-99.0028216137,19.2769983772
c15,11,Tláhuac,-99.0028216137,19.2769983772
c16,11,Tláhuac,-99.0028216137,19.2769983772
c17,10,Álvaro Obregón,-99.246819712,19.336175562
c18,12,Tlalpan,-99.2062207957,19.1983396763
c19,12,Tlalpan,-99.2062207957,19.1983396763
c20,17,Venustiano Carranza,-99.0931057959,19.4304954545
c21,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c22,3,Coyoacán,-99.1503763525,19.3266672536
c23,7,Iztapalapa,-99.0567989642,19.3491663204
c24,2,Azcapotzalco,-99.1821069423,19.4853286147
c25,3,Coyoacán,-99.1503763525,19.3266672536
c26,7,Iztapalapa,-99.0567989642,19.3491663204
c27,2,Azcapotzalco,-99.1821069423,19.4853286147
c28,11,Tláhuac,-99.0028216137,19.2769983772
c29,15,Cuauhtémoc,-99.1490557562,19.4313734294
c30,6,Iztacalco,-99.094329797,19.396911897
c31,6,Iztacalco,-99.094329797,19.396911897
c32,15,Cuauhtémoc,-99.1490557562,19.4313734294
c33,15,Cuauhtémoc,-99.1490557562,19.4313734294
c34,14,Benito Juárez,-99.1611346584,19.3806424162
c35,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c36,10,Álvaro Obregón,-99.246819712,19.336175562
c37,10,Álvaro Obregón,-99.246819712,19.336175562
c38,9,Milpa Alta,-99.0510954218,19.1394565999
c39,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c40,2,Azcapotzalco,-99.1821069423,19.4853286147
c41,9,Milpa Alta,-99.0510954218,19.1394565999
c42,11,Tláhuac,-99.0028216137,19.2769983772
c43,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c44,6,Iztacalco,-99.094329797,19.396911897
c45,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c46,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c47,9,Milpa Alta,-99.0510954218,19.1394565999
c48,3,Coyoacán,-99.1503763525,19.3266672536
c49,10,Álvaro Obregón,-99.1919955,19.357102
c50,11,Tláhuac,-99.0028216137,19.2769983772
c51,7,Iztapalapa,-99.0567989642,19.3491663204
c52,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c53,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c54,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c55,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c56,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c57,11,Tláhuac,-99.0028216137,19.2769983772
c58,9,Milpa Alta,-99.0510954218,19.1394565999
c59,2,Azcapotzalco,-99.1821069423,19.4853286147
c60,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c61,15,Cuauhtémoc,-99.1490557562,19.4313734294
c62,6,Iztacalco,-99.094329797,19.396911897
c63,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c64,12,Tlalpan,-99.1600234,19.152878
c65,17,Venustiano Carranza,-99.0931057959,19.4304954545
c66,7,Iztapalapa,-99.0567989642,19.3491663204
c67,7,Iztapalapa,-99.0567989642,19.3491663204
c68,13,Xochimilco,-99.0903636045,19.2451450458
c69,13,Xochimilco,-99.0903636045,19.2451450458
c70,16,Miguel Hidalgo,-99.1843501,19.3998346
c71,13,Xochimilco,-99.0903636045,19.2451450458
c72,12,Tlalpan,-99.2058092,19.2970107
c73,13,Xochimilco,-99.0903636045,19.2451450458
c74,11,Tláhuac,-99.0028216137,19.2769983772
c75,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c76,15,Cuauhtémoc,-99.1490557562,19.4313734294
c77,15,Cuauhtémoc,-99.1490557562,19.4313734294
c78,7,Iztapalapa,-99.0567989642,19.3491663204
c79,12,Tlalpan,-99.2062207957,19.1983396763
c80,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c81,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c82,12,Tlalpan,-99.2062207957,19.1983396763
c83,11,Tláhuac,-99.0028216137,19.2769983772
c84,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c85,16,Miguel Hidalgo,-99.1843501,19.3998346
c86,2,Azcapotzalco,-99.1821069423,19.4853286147
c87,10,Álvaro Obregón,-99.1919955,19.357102
c88,16,Miguel Hidalgo,-99.1843501,19.3998346
c89,14,Benito Juárez,-99.1611346584,19.3806424162
c90,7,Iztapalapa,-99.0567989642,19.3491663204
c91,7,Iztapalapa,-99.0567989642,19.3491663204
c92,2,Azcapotzalco,-99.1821069423,19.4853286147
c93,15,Cuauhtémoc,-99.1490557562,19.4313734294
c94,15,Cuauhtémoc,-99.1490557562,19.4313734294
c95,14,Benito Juárez,-99.1611346584,19.3806424162
c96,7,Iztapalapa,-99.0567989642,19.3491663204
c97,11,Tláhuac,-99.0028216137,19.2769983772
c98,7,Iztapalapa,-99.067766,19.3668621
c99,16,Miguel Hidalgo,-99.180678,19.444937
c100,7,Iztapalapa,-99.0567989642,19.3491663204
c101,2,Azcapotzalco,-99.1821069423,19.4853286147
c102,15,Cuauhtémoc,-99.1490557562,19.4313734294
c103,4,Cuajimalpa de Morelos,-99.3107285253,19.3246343001
c104,15,Cuauhtémoc,-99.1490557562,19.4313734294
c105,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c106,7,Iztapalapa,-99.0567989642,19.3491663204
c107,10,Álvaro Obregón,-99.246819712,19.336175562
c108,14,Benito Juárez,-99.1611346584,19.3806424162
c109,15,Cuauhtémoc,-99.1490557562,19.4313734294
c110,7,Iztapalapa,-99.0567989642,19.3491663204
c111,14,Benito Juárez,-99.1611346584,19.3806424162
c112,7,Iztapalapa,-99.0567989642,19.3491663204
c113,7,Iztapalapa,-99.0567989642,19.3491663204
c114,2,Azcapotzalco,-99.1821069423,19.4853286147
c115,7,Iztapalapa,-99.0567989642,19.3491663204
c116,7,Iztapalapa,-99.0567989642,19.3491663204
c117,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c118,6,Iztacalco,-99.094329797,19.396911897
c119,7,Iztapalapa,-99.0567989642,19.3491663204
c120,15,Cuauhtémoc,-99.1490557562,19.4313734294
c121,15,Cuauhtémoc,-99.1490557562,19.4313734294
c122,10,Álvaro Obregón,-99.1919955,19.357102
c123,15,Cuauhtémoc,-99.1490557562,19.4313734294
c124,16,Miguel Hidalgo,-99.1843501,19.3998346
c125,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c126,9,Milpa Alta,-99.0510954218,19.1394565999
c127,7,Iztapalapa,-99.0567989642,19.3491663204
c128,16,Miguel Hidalgo,-99.1843501,19.3998346
c129,7,Iztapalapa,-99.067766,19.3668621
c130,8,La Magdalena Contreras,-99.2684129061,19.2689765031
c131,15,Cuauhtémoc,-99.259495,19.3863707
c132,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c133,10,Álvaro Obregón,-99.1919955,19.357102
c134,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c135,16,Miguel Hidalgo,-99.19210358696002,19.442715807413386
c136,6,Iztacalco,-99.094329797,19.396911897
c137,7,Iztapalapa,-99.067766,19.3668621
c138,15,Cuauhtémoc,-99.1490557562,19.4313734294
c139,9,Milpa Alta,-99.0510954218,19.1394565999
c140,13,Xochimilco,-99.0903636045,19.2451450458
c141,8,La Magdalena Contreras,-99.2684129061,19.2689765031
c142,12,Tlalpan,-99.2062207957,19.1983396763
c143,10,Álvaro Obregón,-99.1919955,19.357102
c144,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c145,10,Álvaro Obregón,-99.1919955,19.357102
c146,15,Cuauhtémoc,-99.1490557562,19.4313734294
c147,10,Álvaro Obregón,-99.246819712,19.336175562
c148,15,Cuauhtémoc,-99.1490557562,19.4313734294
c149,9,Milpa Alta,-99.0510954218,19.1394565999
c150,9,Milpa Alta,-99.0510954218,19.1394565999
c151,17,Venustiano Carranza,-99.0931057959,19.4304954545
c152,10,Álvaro Obregón,-99.246819712,19.336175562
c153,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c154,7,Iztapalapa,-99.0567989642,19.3491663204
c155,2,Azcapotzalco,-99.1821069423,19.4853286147
c156,14,Benito Juárez,-99.1611346584,19.3806424162
c157,16,Miguel Hidalgo,-99.1831,19.44304
c158,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c159,13,Xochimilco,-99.0903636045,19.2451450458
c160,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c161,16,Miguel Hidalgo,-99.1843501,19.3998346
c162,12,Tlalpan,-99.2062207957,19.1983396763
c163,6,Iztacalco,-99.094329797,19.396911897
c164,10,Álvaro Obregón,-99.246819712,19.336175562
c165,7,Iztapalapa,-99.0567989642,19.3491663204
c166,17,Venustiano Carranza,-99.0931057959,19.4304954545
c167,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c168,2,Azcapotzalco,-99.1821069423,19.4853286147
c169,7,Iztapalapa,-99.0567989642,19.3491663204
c170,7,Iztapalapa,-99.0567989642,19.3491663204
c171,10,Álvaro Obregón,-99.246819712,19.336175562
c172,12,Tlalpan,-99.2062207957,19.1983396763
c173,10,Álvaro Obregón,-99.1919955,19.357102
c174,15,Cuauhtémoc,-99.1490557562,19.4313734294
c175,17,Venustiano Carranza,-99.0931057959,19.4304954545
c176,15,Cuauhtémoc,-99.1490557562,19.4313734294
c177,15,Cuauhtémoc,-99.1490557562,19.4313734294
c178,16,Miguel Hidalgo,-99.1843501,19.3998346
c179,12,Tlalpan,-99.2058092,19.2970107
c180,15,Cuauhtémoc,-99.1490557562,19.4313734294
c181,15,Cuauhtémoc,-99.1490557562,19.4313734294
c182,7,Iztapalapa,-99.0567989642,19.3491663204
c183,7,Iztapalapa,-99.0567989642,19.3491663204
c184,14,Benito Juárez,-99.1611346584,19.3806424162
c185,7,Iztapalapa,-99.0567989642,19.3491663204
c186,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c187,7,Iztapalapa,-99.0567989642,19.3491663204
c188,10,Álvaro Obregón,-99.246819712,19.336175562
c189,7,Iztapalapa,-99.0567989642,19.3491663204
c190,7,Iztapalapa,-99.0567989642,19.3491663204
c191,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c192,15,Cuauhtémoc,-99.1490557562,19.4313734294
c193,17,Venustiano Carranza,-99.0931057959,19.4304954545
c194,9,Milpa Alta,-99.0510954218,19.1394565999
c195,15,Cuauhtémoc,-99.1490557562,19.4313734294
c196,10,Álvaro Obregón,-99.246819712,19.336175562
c197,15,Cuauhtémoc,-99.1490557562,19.4313734294
c198,15,Cuauhtémoc,-99.1490557562,19.4313734294
c199,6,Iztacalco,-99.094329797,19.396911897
c200,15,Cuauhtémoc,-99.1490557562,19.4313734294
c201,12,Tlalpan,-99.2062207957,19.1983396763
c202,12,Tlalpan,-99.2062207957,19.1983396763
c203,12,Tlalpan,-99.2062207957,19.1983396763
c204,10,Álvaro Obregón,-99.246819712,19.336175562
c205,10,Álvaro Obregón,-99.246819712,19.336175562
