authorID,authorName,authorUsername,authorCreatedAt,authorVerified,followersCount,followingCount
1026582354851246080,Sindicato del Heroico Cuerpo de Bomberos,SindicatoHCB,2018-08-06 15:34:41,0,2721,531
476050170,Cruz Roja CDMX,CruzRoja_CDMX,2012-01-27 12:27:33,0,43836,370
343188002,SéUno Noticias,seunonoticias,2011-07-26 23:41:27,0,5052,2659
2670921458,..:: Michelle ::..,MichelleKhanFR,2014-07-22 17:05:54,0,17,136
29081734,Gerardo Castañeda,gccmovil,2009-04-05 16:26:12,0,1329,1271
263266407,Alhelí Abundis,alheliabundis,2011-03-09 12:30:32,0,1046,527
2400281774,CumbreInformativa,CumbreInformaMX,2014-03-20 12:31:39,0,1152,768
1651261454,Elías G.,USARHM,2013-08-06 15:15:12,0,10269,850
201165761,El acarreado arrastrado,villa2016mx,2010-10-11 01:01:03,0,126,571
781019349867982848,MILI   VARGAS,RobotMili,2016-09-28 00:34:58,0,26,246
4303126212,Entérate México,EnterateMexico_,2015-11-20 11:35:04,0,5828,1986
708088889785778177,Cruz Roja Sonora,CruzRojaSonora,2016-03-10 18:35:21,0,1117,152
1381386546,112Galicia,112Galicia,2013-04-26 02:30:15,1,14207,189
552239341,Yuri,YurGuz,2012-04-12 16:56:04,0,1334,995
876779066480889857,Instructor Nuclear,fruf82,2017-06-19 06:29:53,0,7577,510
740966304543178752,PacoZeaCom,PacoZeaCom,2016-06-09 11:58:28,0,28501,135
995009162299002881,Carolina Peguero,CPegueroTV,2018-05-11 12:34:05,1,368,23
908768292738785280,lucymalibu,lucmalibu,2017-09-15 13:03:39,0,59,326
731867918,OzzquiSofrenico,OzzRobless,2012-08-01 19:27:05,0,1245,2443
922480641685540864,Maria Guzman,MariGuzam,2017-10-23 09:11:38,0,43,11
152358615,La Silla Rota,lasillarota,2010-06-05 12:46:31,1,495019,3623
195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,947203,760
152917502,Infórmate Diario,InformateMX,2010-06-07 00:00:29,0,8017,4536
491805816,Pulso Político,MXPulsoPolitico,2012-02-13 19:31:29,0,1632,34
924008018391588870,El Diván de Uber,DivanUber,2017-10-27 14:20:53,0,35,24
4184398168,Mary O. L.,Ma_maryOL,2015-11-14 00:27:31,0,3468,3305
2802623297,Todos Somos Azcapotzalco,TodosSomosAzcap,2014-10-03 13:32:16,0,12472,396
104544456,Bruno Belmont,br1belmont,2010-01-13 11:13:05,0,58,410
1151337458,Mario Alvarado,MarioAlvaradoPN,2013-02-05 10:19:00,0,1420,78
340436240,NOTICIAS URBANAS MEXICO,_NUMexico,2011-07-22 12:02:11,0,2007,980
93556472,Informativo Anáhuac   ,Xochimilco_MX,2009-11-29 22:03:05,0,5381,1185
166594238,OVIAL_SSCCDMX,OVIALCDMX,2010-07-14 09:00:43,1,1942061,135
89488218,Ericka Pedrero,Kikaapedrero,2009-11-12 11:00:21,0,685,3517
103382446,kibaly,kibaly,2010-01-09 15:17:46,0,734,1940
29734656,ChuMario,chumario,2009-04-08 09:05:31,0,173,876
1014593845881757697,News Bot ,NewsBotMX,2018-07-04 13:36:37,0,61,0
40098528,Radio Tráfico Total,trafico889,2009-05-14 16:06:13,1,899098,70
613671577,Jenny R ,bebepfm,2012-06-20 12:53:35,0,1347,1503
850158316382814213,Noticias GAM CDMX,Noti_Gam,2017-04-06 19:28:32,0,3614,225
555391975,Oscar,Oscarcd25,2012-04-16 14:12:24,0,87,266
90345860,arturosomemphis,nefis77,2009-11-16 01:21:37,0,57,854
773634511791947776,JUSTICIA,ReformaJusticia,2016-09-07 15:30:15,0,8930,283
143252252,Melina Ochoa,MelinaOchoaN,2010-05-12 18:37:52,0,1469,503
111617532,King nothing,socdelgado,2010-02-05 09:20:49,0,459,1010
237886012,Pablo G de A,eselPabs,2011-01-13 15:36:44,0,282,37
193901929,Pepe,panchorreando,2010-09-22 17:06:07,0,13,111
47379940,La Razón de México,LaRazon_mx,2009-06-15 10:50:35,1,157668,948
537853158,Irene Amelia,ayaxcatl,2012-03-26 20:21:29,0,880,619
894991917666193412,24 Edomex,24_Edomex,2017-08-08 12:41:16,0,397,107
950389304806772736,24 CDMX,24_CDMXNoticias,2018-01-08 09:30:42,0,545,109
760011756664033280,PoderAG BJ,PoderAG_BJ,2016-08-01 01:18:17,0,7238,93
1301271666,Noticias En La Mira,OficialEnLaMira,2013-03-25 15:51:15,0,320312,1549
341063345,fernando alcala,OngVerpormexico,2011-07-23 12:55:12,0,629,2267
1702951741,Arturo Aguilar,Arturo067,2013-08-26 15:01:10,0,225,269
222348228,Jose Daniel Tecuanhuey Sanchez,nipsor,2010-12-02 22:26:25,0,1095,3972
3515408356,Reporte Nivel Uno,ReporteNivelUno,2015-09-01 12:56:17,0,15886,483
2743508726,Notishop,revistanotishop,2014-08-18 18:40:05,0,368,132
236636515,Joaquín López-Dóriga,lopezdoriga,2011-01-10 19:32:54,1,8036485,1933
221809733,René Martínez,Ranametalera,2010-12-01 11:35:27,0,70,85
68240346,Hechos AM,HechosAM,2009-08-23 15:25:16,1,426866,358
3290590946,Tránsito y Vialidad,Transito_Vtlane,2015-07-24 11:34:46,0,7142,50
115176328,Laura S. García,laurbanoss,2010-02-17 15:23:06,0,972,917
795702760414973952,Miguel Martínez P.,MtzPliego_MA,2016-11-07 13:01:36,0,11,79
1069956962,Daniel Alejandro Paz,DanielPazdpaz,2013-01-07 22:23:19,0,414,1872
3060475753,Marcela,GPMA24,2015-03-03 15:46:56,0,248,282
1131569113,CNAC,CNAC_GN,2013-01-29 10:52:33,0,115049,4
747774081018191872,hermes,vialhermes,2016-06-28 06:50:08,0,3267,919
787617564,La Teacher,mugrechihuahua,2012-08-28 12:49:28,0,503,659
2687924802,Gela Mh,gela_mh,2014-07-28 11:14:53,0,71,335
228789276,Minerva Ileana Ramos,ileanaiturbe,2010-12-20 11:46:23,0,67,62
183782974,miguel,miguelp73,2010-08-27 15:59:30,0,11,41
804551999035314176,Centro Informativo CDMX,CI_CDMX,2016-12-01 23:05:19,0,18193,2698
172346252,Unidad de Contacto del Secretario SSC CDMX,UCS_GCDMX,2010-07-29 07:52:54,1,674364,93
164374415,Mauricio,mauriciopg2020,2010-07-08 12:33:46,0,134,223
870146764480757760,Juan Hernandez,jh_infocdmx2017,2017-05-31 23:15:29,0,124,280
316590035,Edgar Mejia,UnEdgardomas,2011-06-13 11:37:30,0,175,808
202478567,Judá González,Juda_gi,2010-10-13 21:40:39,0,388,189
558333877,Onda Cero Mallorca,OCRMallorca,2012-04-19 22:58:24,0,6566,550
302019972,O Cadahía,Cadahiacurrelos,2011-05-20 07:21:41,0,3040,1876
40290372,Sir Ezio John CROW,Ezio_CROW,2009-05-15 11:41:00,0,1349,3288
1048019361728884736,Catamaran,lic_peco,2018-10-04 19:17:41,0,91,469
1038272697216786434,LuQ,anonymousLUQ,2018-09-07 21:47:56,0,36,46
834009786,Alcaldía Iztapalapa,Alc_Iztapalapa,2012-09-19 13:48:22,0,97790,591
873186654965514240,Alejandro Pastrana,pastranacirugia,2017-06-09 08:34:56,0,362,143
1038669320300191744,@hermesinforma,hermesinforma3,2018-09-09 00:03:58,0,69,391
3027660039,Analisis7,Analisis71,2015-02-09 23:01:24,0,20,347
1037905214089691136,Reporteros De Operaciones Especiales Mexico,ReporterosdOem1,2018-09-06 21:27:41,0,703,149
1641822403,V Aguilar,vaguilar012001,2013-08-02 20:03:50,0,66,33
31042409,Товарищ Ругозов (Tovarishch Rogozov),angelvanegas,2009-04-13 21:09:38,0,1088,1878
803594829053775872,Alertas Urbanas AU ,alertasurbanas,2016-11-29 07:41:52,0,89700,921
34186213,Enrique Burbano,eburbano,2009-04-21 22:43:40,0,64,1013
139902440,LOBO SOLITARIO,LOBO_81_MEX,2010-05-03 18:50:32,0,118,789
714177263403569152,Jandy Romo,jandyromor,2016-03-27 13:48:23,0,8,69
14233108,Camarada Joss ☭,josestar76,2008-03-26 23:41:13,0,803,812
111833441,Mario Vega,mariovegarojas,2010-02-06 02:21:09,0,2029,533
932886511661473793,Once's Informando,OncesInformando,2017-11-21 02:20:51,0,507,69
708099965264891904,Qué Poca Madre ,QuePocaMadre_Mx,2016-03-10 19:19:22,0,254713,69225
2332836086,Vias Concesionadas.,VConcesionadas,2014-02-07 22:15:51,0,4257,4950
186943877,Sesta Compagnia di Pompieri ,Sesta_Compagnia,2010-09-04 14:49:57,0,7573,133
84972525,Paquito B.,Rezamexusa,2009-10-24 18:32:26,0,3318,4993
200719671,Javier Herrera Ruiz,javier_dnr,2010-10-09 20:01:07,0,26,766
1050404646152335361,MAG,migangelgarzam,2018-10-11 09:15:57,0,71769,898
1010925970952351746,Fernanda,mfer__vc,2018-06-24 10:41:48,0,80,140
2229765024,Radio Galega,RadioGalega,2013-12-04 05:42:13,1,28314,16
830002552699748353,Sandra Yareni,drayareniux,2017-02-10 04:36:44,0,15,89
852438433,Lauroita,Lauroita1,2012-09-29 01:38:29,0,1,63
709241790,Vero,vero_90_12,2012-07-21 10:41:07,0,18,125
755141130124079104,Reinventemos BJ,Reinventemosbjc,2016-07-18 14:44:10,0,1866,1224
40991380,Eduardo,lalo1808,2009-05-18 16:52:44,0,2519,2896
756229086045872131,Reporte Culhuacán,ReportCulhuacan,2016-07-21 14:47:18,0,1591,183
230618659,Sandra Olvera,Sandioe,2010-12-25 22:18:36,0,3701,4982
1466056712,RAUL ALEJANDRO #CPT,omar18noraul,2013-05-28 18:54:58,0,109,249
128765996,QPM En Toluca,quepocamadree,2010-04-01 21:56:55,0,3970,1641
122532966,The fumigator,rogersnts,2010-03-12 19:41:38,0,159,409
296421711,Aurora Cbeta,a_cbeta,2011-05-10 12:44:23,0,64,228
1050580112146460672,AdrianGus,AdrianG38034249,2018-10-11 20:53:12,0,155,2707
1786378699,Colonia Narvarte,ccnarvarteuno13,2013-09-07 17:28:13,0,1320,1408
374021535,virs_2010,virs_2010,2011-09-15 09:34:16,0,3,27
87350793,SUUMA Voluntarios ,SUUMA_CDMX,2009-11-03 21:07:26,0,43369,86
4501789032,Escudo Urbano C5 Jalisco,EscudoUrbanoJal,2015-12-08 18:15:15,0,45929,40
1036289685650202624,Morales8792,Morales87921,2018-09-02 10:28:09,0,7,14
245414986,manuel villeda,lamraven,2011-01-31 11:03:43,0,38,310
611237247,Miguel Ángel Vicente,ma_vicente,2012-06-17 15:57:13,0,759,707
916070203,Danny Berber,DannyBerber,2012-10-30 21:35:31,0,41,180
2798141128,EERSSAoficial,eerssaoficial,2014-10-01 08:56:12,0,6120,339
141281940,@ALTERNATIVAVIALFace,ALTERNATIVAVIAL,2010-05-07 11:19:59,0,13701,9992
2242926522,Canal 6 Tv,canal6tv,2013-12-12 15:15:53,0,11464,383
846928145244663808,911 Emergencias Pue,911Puebla,2017-03-28 21:32:59,1,50274,599
107165982,Federico Tovar H,federicotovar,2010-01-21 12:50:21,0,362,696
23377748,Fuerza Informativa Azteca,AztecaNoticias,2009-03-08 18:35:31,1,843059,940
515057148,J. Collins,jOnaz08,2012-03-04 21:40:09,0,27,77
273720020,Periódico El Tiempo,ElTiempoGve,2011-03-28 19:27:14,0,558,29
759136141224218624,Alerta de Accidentes,OpEsMx,2016-07-29 15:18:55,0,27620,73
460963200,N¤€,noeperezperez2,2012-01-11 03:24:09,0,359,385
137504801,Maria Veronica,Mc_vero,2010-04-26 17:24:47,0,19,82
132249446,Héctor Páramo,paramoalvarez,2010-04-12 12:19:58,0,2229,346
3181207859,JC Andrade,Juanka172301,2015-04-18 17:14:47,0,445,425
758517411930791936,Pedro,Teporingogo,2016-07-27 22:20:18,0,279,333
69161801,Gustavo,GustavoRivas777,2009-08-26 19:30:53,0,1335,1657
129294276,María Dèlire,NosoyKezia,2010-04-03 14:42:39,0,128,263
84241095,Jesus Lozano,Chugokuyin,2009-10-21 22:37:33,0,93,201
396974129,jose  jaramillo,Jaramillocorona,2011-10-23 19:52:37,0,14,359
1963571664,Gris Chavez,grischavezt3,2013-10-15 17:41:54,0,7,188
1060876809993183233,Carla Poleaux,CarlaPoleaux,2018-11-09 06:48:36,0,2489,3051
147287603,luis alberto,acosta13,2010-05-23 12:35:44,0,54,210
100264535,Oscar Mendoza,oscar_mendoza31,2009-12-29 10:36:38,0,242,244
1033941244257476610,OMAC CDMX,omacmx,2018-08-26 22:56:17,0,2895,1114
