pubID,topicQuery,typeQuery,tweet,likeCount,replyCount,retweetCount,authorID,authorName,authorUsername,authorCreatedAt,authorVerified,followersCount,followingCount,pubDate,pubYear,pubMonth,pubDay,pubHour,pubMinute,geoID,geoName,longitude,latitude
1.23722E+18,pirotecnia,palabras clave,"@AdrianRubalcava @PC_Cuajimalpa @AlcCuajimalpa Por favor que los cuetes y fuegos artificiales los frenen en #Cuajimalpa , hoy se escuchaban muchos y a una cuadra de la delegación. Y con lo seco y los cuetes los incendios se van a generar! #BastaYa de cuetes en la zona",1,1,0,440284223,CA,caldama19,18/12/2011 14:05,False,229,857,09/03/2020 21:19,2020,3,9,21,19,4,Cuajimalpa de Morelos,-99.31072853,19.3246343
1.23721E+18,pirotecnia,palabras clave,"@AdrianRubalcava @PC_Cuajimalpa @AlcCuajimalpa Por favor, prohiban los fuegos artificiales, los bosques están muy secos y el sol muy intenso 🥺",3,1,0,1.23685E+18,loryn2021,loryn2021,08/03/2020 20:52,False,3,26,09/03/2020 21:07,2020,3,9,21,7,4,Cuajimalpa de Morelos,-99.31072853,19.3246343
1.24052E+18,pirotecnia,palabras clave,"@Claudiashein @UCS_GCDMX tenemos un problema de salud, no debería de haber grupos grandes reunidos pero Iztacalco ... iztacalco. acá las iglesias con sus fiestas y fuegos artificiales a todo lo que dan",0,0,0,253694236,Perdida en la red,Shaio_tv,17/02/2011 13:41,False,116,1198,19/03/2020 00:08,2020,3,19,0,8,6,Iztacalco,-99.0943298,19.3969119
1.24099E+18,pirotecnia,palabras clave,"@lopezobrador_ “Ya nosj vamosj a Oaxaca a fesjtejar el aniversario del nacimiento de oh mi Benito Juárez García, esjpero que Alejandrito me encuentre otro bello paraje donde pueda seguir disfrutando los fuegos artificiales desde lejos” #elCacasPedofilo https://t.co/Xi5XEKORiy",13,0,5,155225775,Dragon_Lord,Lord_SxTwo,13/06/2010 08:30,False,1150,1740,20/03/2020 07:31,2020,3,20,7,31,14,Benito Juárez,-99.16113466,19.38064242
1.23601E+18,tránsito,coordenadas,"@UCS_GCDMX podrian enviar elementos de tránsito a Av. Instituto politécnico nacional, fuera de UPIITA, vehículos estacionados en la banqueta y lugar prohibido (la avenida) enfrente están los discos.
Frente a la calle paranagua https://t.co/NdKEkQ3yow",1,1,0,8.71226E+17,JUAN MENDEZ,Carlos125_6,03/06/2017 22:44,False,7,667,06/03/2020 13:37,2020,3,6,13,37,2,Azcapotzalco,-99.12614613,19.51099553
1.23485E+18,tránsito,coordenadas,"@OVIALCDMX para reportar este tipo de situaciones, donde se encuentran los de tránsito? Es una vía bastante transitada para que los de la empresa @BonafontMexico tomen ese tipo de conductas. Muy bien su #RetoBonafont saltarse la fila y meter ese hasta adelante https://t.co/btF3T99qPq",0,0,0,2809642689,Orlando Bonilla,BonillaOf,06/10/2014 01:29,False,196,2009,03/03/2020 08:53,2020,3,3,8,53,2,Azcapotzalco,-99.16461139,19.47145437
1.23569E+18,tránsito,palabras clave,"@OVIALCDMX, @SSP_CDMX, Favor de enviar unidad de tránsito a infraccionar trailer bco pcas 182DF3, violando el RT, aparcado en lugar prohibido con disco de tránsito 🚫 ""N/E Vehículos Pesado"", sobre Av. Los Ángeles N.68 entre Av. Sn Pablo y FFCC, Col. Nva. España, Azcapotzalco. https://t.co/DYOmyEkobm",0,1,0,9.03098E+17,lxm2608,LXM2608,30/08/2017 21:30,False,22,129,05/03/2020 16:06,2020,3,5,16,6,2,Azcapotzalco,-99.18210694,19.48532861
1.23465E+18,tránsito,palabras clave,"@UCS_GCDMX, Favor de enviar unidad de tránsito a infraccionar bco/rojo pcas 020DH8, violando el RT, aparcado en lugar prohibido con disco de tránsito 🚫 ""N/E Vehículos Pesado"", sobre Av. Los Ángeles N.68 entre Av. Sn Pablo Xalpay FFCC Nales, Col. Nva. España, Azcapotzalco. https://t.co/S4NigZoWKc",0,0,0,9.03098E+17,lxm2608,LXM2608,30/08/2017 21:30,False,22,129,02/03/2020 19:07,2020,3,2,19,7,2,Azcapotzalco,-99.18210694,19.48532861
1.24083E+18,tránsito,coordenadas,"@transito_CDMX URGE presencia de una patrulla a ORDENAR el bloqueo que tienen los clientes de la gasolinera Servicio Moreno en Plutarco Elías Calles y Eje 8 Ermita, llevamos 4 días con contaminación auditiva, smog y caos total @TransitoCdMx @ColoniaErmita @illgaill https://t.co/bxqrL0G3rd",0,0,1,228412190,ArnoldLayne (Carlos),ArnoldoLaynes,19/12/2010 11:00,False,87,728,19/03/2020 20:43,2020,3,19,20,43,3,Coyoacán,-99.13893885,19.35976524
1.23758E+18,tránsito,palabras clave,"#AvisoImportante en este momento el contingente de la XI Peregrinación de #Tenancingo al #Tepeyac avanza sobre Av. Castorena, #Cuajimalpa rumbo al #Tepeyac , el tráfico en la zona se afectará momentáneamente. Amigo conductor maneja con precaución.",28,3,14,103150136,Adrián Rubalcava,AdrianRubalcava,08/01/2010 20:12,True,62807,1463,10/03/2020 21:14,2020,3,10,21,14,4,Cuajimalpa de Morelos,-99.31072853,19.3246343
