pubID,topicQuery,tweet,likeCount,replyCount,retweetCount,authorID,authorName,authorUsername,authorCreatedAt,authorVerified,followersCount,followingCount,pubDate,pubYear,pubMonth,pubDay,pubHour,pubMinute,geoID,geoName,longitude,latitude
1477370090949648390,incendio,"@C5_CDMX @UCS_GCDMX Espero ahora sí atiendan la denuncia.

Nuevamente quema de cohetes en norte 48 y oriente 103 colonia Joyita alcaldía Gustavo A Madero.",0,1,0,98510893,Marco Maldonado,Dissaor30,2009-12-21 18:58:59,0,579,585,2022-01-01 14:04:12,2022,1,1,14,4,5,Gustavo A. Madero,19.5040652077,-99.1158642087
1477764512317063181,incendio,"⚠️ #Atención En coordinación con @Bomberos_CDMX, personal de Protección Civil de la Alcaldía atienden reporte por incendio forestal en la colonia Lomas de Tepemecatl, la situación está controlada.

#Tlalpan #GrandeComoSuGente https://t.co/4PA751zIjL",30,2,12,862273112,Alcaldía Tlalpan,TlalpanAl,2012-10-04 18:41:34,1,377602,1700,2022-01-02 16:11:29,2022,1,2,16,11,12,Tlalpan,19.1983396763,-99.2062207957
1477834297881022469,incendio,"¡Precaución! Servicios de emergencia se dirigen por incendio de árbol a  Benito Juárez y San Miguel en la colonia San Miguel, alcaldía Iztapalapa.",8,0,2,40098528,Radio Tráfico Total,trafico889,2009-05-14 16:06:13,1,896584,69,2022-01-02 20:48:48,2022,1,2,20,48,7,Iztapalapa,19.3491663204,-99.0567989642
1478090033814917122,incendio,"#Entérate | Se registró un incendio dentro de un departamento en la alcaldía Álvaro Obregón. El heroico cuerpo de bomberos asistió para sofocar el fuego; no se reportan lesionados
https://t.co/Yl8Ix3cuvw https://t.co/VpL1apYEoT",12,0,5,31023547,Reporte Índigo,Reporte_Indigo,2009-04-13 19:47:10,1,976490,727,2022-01-03 13:45:00,2022,1,3,13,45,10,Álvaro Obregón,19.336175562,-99.246819712
1478199582240784388,incendio,"20:59 #PrecauciónVial | Servicios de emergencia acuden a Miguel Angel y Giotto, col. Mixcoac, alcaldía Benito Juárez, por reporte de incendio. Evite circular por la zona. https://t.co/7LKIq4GeX4",1,0,0,166594238,OVIAL_SSCCDMX,OVIALCDMX,2010-07-14 09:00:43,1,1933496,132,2022-01-03 21:00:18,2022,1,3,21,0,14,Benito Juárez,19.3806424162,-99.1611346584
1478482811472519171,incendio,"Se registró un incendio en un restaurante de la alcaldía Benito Juárez, en #CDMX; no hay reporte de lesionados. #ALasTres https://t.co/YTkZ1Kki0E",28,0,6,109651819,Foro_TV,Foro_TV,2010-01-29 14:05:47,1,1977477,83,2022-01-04 15:45:45,2022,1,4,15,45,14,Benito Juárez,19.3806424162,-99.1611346584
1478501511403655174,tránsito,"Accidente reportado sobre Paseo de la Reforma a la altura de Valerio Trujano; Alcaldía Cuauhtémoc. 
Te recomendamos Eje Central Lázaro Cárdenas como alternativa. 
#Deprisateinforma #tráfico https://t.co/gph1spRmUq",0,0,0,740319328982077441,DeprisaMX,DeprisaMX,2016-06-07 17:07:37,0,351,131,2022-01-04 17:00:04,2022,1,4,17,0,15,Cuauhtémoc,19.4313734294,-99.1490557562
1478758990913970182,tránsito,"@inakimanero @889Noticias @VILLALVAZO13 @tmoralesenvivo
Buen dia solo para reportar en la subida de indios verdes con dirección a Pachuca diarionhay tres motocicletas de policias (no transito) parando a vehículos con placas foráneas, mi preguntas es no se supone q ellos no estan",0,1,0,1046904280194723841,baezito79,Alex7971547857,2018-10-01 17:26:45,0,2,42,2022-01-05 10:03:12,2022,1,5,10,3,5,Gustavo A. Madero,-99.118665,19.484399
1479076552834838528,incendio,"@SSC_CDMX quiero reportar un fuerte olor a quemado, no sabemos si son llantas quemadas, cables o un incendio pero huele fuertísimo en la alcaldía Iztapalapa, me encuentro por la colonia miravalle...",0,1,1,1479075858161700865,Giovannarmayett,giovannarmayett,2022-01-06 07:02:34,0,1,3,2022-01-06 07:05:04,2022,1,6,7,5,7,Iztapalapa,19.3491663204,-99.0567989642
1479485268461826048,incendio,"Elementos de la @SSC_CDMX a través del Operativo #RINO”, detuvieron a cuatro hombres en posesión de un arma de fuego corta, en la Alcaldía #Cuauhtémoc. (🎥) @Reporte_Indigo @CapitalMexico @EfektoTv @RdoCapital https://t.co/2zDukHDjfd",1,1,1,193354323,Guillermo Espinosa,Guiesga,2010-09-21 10:29:20,0,3511,1935,2022-01-07 10:09:10,2022,1,7,10,9,15,Cuauhtémoc,19.4313734294,-99.1490557562
1479528276540510213,incendio,"#Entérate | Una mujer perdió la vida dentro de un taller automotriz con disparos de arma de fuego Los hechos ocurrieron en la alcaldía Miguel Hidalgo
https://t.co/SXYKjNkYd9 https://t.co/QPuZrizeTf",3,0,2,31023547,Reporte Índigo,Reporte_Indigo,2009-04-13 19:47:10,1,976490,727,2022-01-07 13:00:04,2022,1,7,13,0,16,Miguel Hidalgo,19.4280623649,-99.2045669144
1479596328120459265,incendio,"¡Precaución! Debido a #incendio Servicios de Emergencia laboran en Atzacoalco y Félix Romero, colonia Constitución de la República, alcaldía Gustavo A. Madero. Alternativas: Eje 1 Oriente y Eje 2 Oriente.",1,0,1,40098528,Radio Tráfico Total,trafico889,2009-05-14 16:06:13,1,896584,69,2022-01-07 17:30:28,2022,1,7,17,30,5,Gustavo A. Madero,19.5040652077,-99.1158642087
1479709857901166593,tránsito,@Alcaldia_Coy Atiendan mi denuncia: Cafetería que se instala en plena banqueta obstruyendo el libre tránsito por la vía pública... https://t.co/AxO3zfG4ma,5,1,7,3325643065,Miguel A,miki_pentagrama,2015-08-22 21:52:00,0,69,548,2022-01-08 01:01:36,2022,1,8,1,1,3,Coyoacán,-99.2058092,19.2970107
1480742704007069699,tránsito,Volcó este vehículo en Periférico con Circuito Azteca rumbo a la glorieta de Vaqueritos lo que provocó más tráfico en esa dirección. Ya fue retirado. Conduzca con precaución. https://t.co/d7QIedVx8j,20,1,7,415242374,Tavo Ojeda✌,tavojeda5,2011-11-17 20:45:54,0,19959,361,2022-01-10 21:25:46,2022,1,10,21,25,8,La Magdalena Contreras,-99.315748,19.087511
1481264619448590342,tránsito,"¡Precaución! #Manifestantes afectan la circulación de un carril de División del Norte, entre Eje 8 Sur a Av. Río Churubusco, col. General Anaya, Alcaldía Benito Juárez. Alternativa: Calz. Tlalpan.",4,0,0,40098528,Radio Tráfico Total,trafico889,2009-05-14 16:06:13,1,896584,69,2022-01-12 07:59:40,2022,1,12,7,59,12,Tlalpan,19.1983396763,-99.2062207957
1481401479562993668,incendio,"¡Precaución! Por el reporte de un #incendio, servicios de emergencia se dirigen a Labradores e Imprenta, en la col. Morelos, alcaldía Venustiano Carranza.",2,0,1,40098528,Radio Tráfico Total,trafico889,2009-05-14 16:06:13,1,896584,69,2022-01-12 17:03:30,2022,1,12,17,3,17,Venustiano Carranza,19.4304954545,-99.0931057959
1481461795470692352,incendio,"21:04 #PrecauciónVial | Servicios de emergencia acuden a Av. 412 y 608, alcaldía Gustavo A. Madero, por reporte de incendio. Conduce con precaución y cede el paso. https://t.co/T07BVe6Fqo",3,0,0,166594238,OVIAL_SSCCDMX,OVIALCDMX,2010-07-14 09:00:43,1,1933496,132,2022-01-12 21:03:10,2022,1,12,21,3,5,Gustavo A. Madero,19.5040652077,-99.1158642087
1481620182846038019,tránsito,Hecho de tránsito con un deceso y un lesionado en el Km. 29 de la autopista México Puebla. Precaución https://t.co/ntCak06tq1,25,2,11,745263602,Condorelampago312,luismiguelbaraa,2012-08-08 08:08:02,0,35155,1085,2022-01-13 07:32:33,2022,1,13,7,32,8,La Magdalena Contreras,-99.315748,19.087511
1481757222837358603,incendio,@suska94 @AlcaldiaTlahuac Buenas tardes. Su reporte fue enviado al Centro Nacional de Manejo del Fuego y comentan que ya se encuentra en atención por personal de @GobCDMX y personas de la comunidad.,1,0,0,525938555,CONAFOR,CONAFOR,2012-03-15 19:58:32,1,80200,1646,2022-01-13 16:37:06,2022,1,13,16,37,11,Tláhuac,19.2769983772,-99.0028216137
1481821005341470722,incendio,Mucho humo en el ambiente y fuerte olor a quemado en la col. Industrial. @GamDenuncias @Col_Industrial @GAM_xTi,8,5,7,67898445,¡¡¡ʎɐɥ әnb ol sә,GUAYOOO,2009-08-22 08:24:27,0,228,932,2022-01-13 20:50:33,2022,1,13,20,50,2,Azcapotzalco,-99.180678,19.444937
1481829788633518084,incendio,"Huele muy fuerte a Humo, por la zona de la.raza en Cdmx ya reporte a 911 que esta pasando #humo #quemado",1,0,0,247529399,Many MP,ManyPF,2011-02-04 18:22:35,0,138,625,2022-01-13 21:25:27,2022,1,13,21,25,2,Azcapotzalco,-99.180678,19.444937
1481967177850830850,tránsito,"¡Maneja con precaución! Luego de #volcadura se restablece la circulación en Periférico a la altura de Viaducto Miguel Alemán con dirección a Barranca del Muerto, alcaldía Álvaro Obregón.",4,0,0,40098528,Radio Tráfico Total,trafico889,2009-05-14 16:06:13,1,896584,69,2022-01-14 06:31:23,2022,1,14,6,31,10,Álvaro Obregón,19.336175562,-99.246819712
1482024710074290176,tránsito,"#AMxVial || Servicios de emergencia atienden un #Accidente de tránsito sobre Av. Insurgentes Norte al Sur y Montiel Col. Lindavista, alcaldía #GAM, #CDMX.
⚠️Extreme Precauciones⚠️

📹: @C5_CDMX 

#AgenciaMxNoticias https://t.co/LLcaGzz47p",2,1,1,551446885,Agencia Mexiquense de Noticias,AMXNoticias,2012-04-11 18:46:59,1,94716,673,2022-01-14 10:20:00,2022,1,14,10,20,5,Gustavo A. Madero,19.5040652077,-99.1158642087
1482151232483508226,incendio,"18:42 #PrecauciónVial | Servicios de emergencia acuden a Avenida Acueducto y Azucena, alcaldía Tlahuac, por reporte de incendio. Conduce con precaución y cede el paso. https://t.co/B8TcEbfZii",0,0,1,166594238,OVIAL_SSCCDMX,OVIALCDMX,2010-07-14 09:00:43,1,1933496,132,2022-01-14 18:42:45,2022,1,14,18,42,11,Tláhuac,19.2769983772,-99.0028216137
