authorID,authorName,authorUsername,authorCreatedAt,authorVerified,followersCount,followingCount
1026582354851246080,Sindicato del Heroico Cuerpo de Bomberos,SindicatoHCB,2018-08-06 15:34:41,0,2723,531
195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,926205,763
870146764480757760,Juan Hernandez,jh_infocdmx2017,2017-05-31 23:15:29,0,123,279
3027660039,Analisis7,Analisis71,2015-02-09 23:01:24,0,20,345
2169379734,Quadratín Morelos,Quadratin_Mor,2013-11-01 19:45:06,0,6924,996
852438433,Lauroita,Lauroita1,2012-09-29 01:38:29,0,1,63
128765996,QPM En Toluca,quepocamadree,2010-04-01 21:56:55,0,3972,1642
1026582354851246080,Sindicato del Heroico Cuerpo de Bomberos,SindicatoHCB,2018-08-06 15:34:41,0,2723,531
1026582354851246080,Sindicato del Heroico Cuerpo de Bomberos,SindicatoHCB,2018-08-06 15:34:41,0,2723,531
1026582354851246080,Sindicato del Heroico Cuerpo de Bomberos,SindicatoHCB,2018-08-06 15:34:41,0,2723,531
87350793,SUUMA Voluntarios ,SUUMA_CDMX,2009-11-03 21:07:26,0,43180,86
245414986,manuel villeda,lamraven,2011-01-31 11:03:43,0,38,311
1060876809993183233,Carla Poleaux,CarlaPoleaux,2018-11-09 06:48:36,0,1747,3026
170366148,Oliver,Olivem294,2010-07-24 10:53:00,0,243,262
1037711864,HCK MX,HCKMX,2012-12-26 12:11:51,0,19,207
703758800503767040,ism rivera,ismriv1,2016-02-27 19:49:08,0,1,10
257236830,Emmanuel Salgado,esalgadoflores1,2011-02-24 18:51:58,0,75,286
195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,926205,763
124540574,Roberto Connolly,connollyroot,2010-03-19 12:53:24,0,672,835
3832749620,Mística  Quezada B,misticaqb,2015-10-08 22:45:16,0,53,338
1618286407,Eduardo Olivo,eolivo79,2013-07-24 11:38:01,0,380,1539
3290590946,Tránsito y Vialidad,Transito_Vtlane,2015-07-24 11:34:46,0,7047,50
195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,926205,763
293063533,JORGE BECERRIL JB/8,MrElDiablo8,2011-05-04 12:00:15,1,172339,888
352712579,Cool cat ,togamed,2011-08-10 18:25:38,0,458,2439
82202570,Antonio Hernández Zamudio (lider),ZAMLIDER,2009-10-13 15:57:01,0,605,2061
539317712,CLARIDAD,Claridaddiario,2012-03-28 13:30:55,0,1686,408
1083485392979066883,Mr. Dan,DanTeniente132,2019-01-10 16:07:02,0,12,257
