coordinateID,geoID,geoName,longitude,latitude
c1,12,Tlalpan,-99.2062207957,19.1983396763
c2,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c3,10,Álvaro Obregón,-99.1919955,19.357102
c4,17,Venustiano Carranza,-99.0931057959,19.4304954545
c5,15,Cuauhtémoc,-99.1490557562,19.4313734294
c6,14,Benito Juárez,-99.1611346584,19.3806424162
c7,17,Venustiano Carranza,-99.0931057959,19.4304954545
c8,13,Xochimilco,-99.0903636045,19.2451450458
c9,12,Tlalpan,-99.2062207957,19.1983396763
c10,8,La Magdalena Contreras,-99.2684129061,19.2689765031
c11,10,Álvaro Obregón,-99.246819712,19.336175562
c12,7,Iztapalapa,-99.0567989642,19.3491663204
c13,10,Álvaro Obregón,-99.246819712,19.336175562
c14,2,Azcapotzalco,-99.1821069423,19.4853286147
c15,7,Iztapalapa,-99.0567989642,19.3491663204
c16,10,Álvaro Obregón,-99.246819712,19.336175562
c17,2,Azcapotzalco,-99.1821069423,19.4853286147
c18,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c19,12,Tlalpan,-99.2062207957,19.1983396763
c20,16,Miguel Hidalgo,-99.1843501,19.3998346
c21,16,Miguel Hidalgo,-99.1843501,19.3998346
c22,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c23,12,Tlalpan,-99.2062207957,19.1983396763
c24,12,Tlalpan,-99.2062207957,19.1983396763
c25,16,Miguel Hidalgo,-99.180678,19.444937
c26,4,Cuajimalpa de Morelos,-99.3107285253,19.3246343001
c27,3,Coyoacán,-99.1503763525,19.3266672536
c28,12,Tlalpan,-99.2062207957,19.1983396763
c29,13,Xochimilco,-99.0903636045,19.2451450458
c30,2,Azcapotzalco,-99.1821069423,19.4853286147
c31,4,Cuajimalpa de Morelos,-99.3107285253,19.3246343001
c32,12,Tlalpan,-99.2062207957,19.1983396763
c33,12,Tlalpan,-99.140238,19.2846922
c34,7,Iztapalapa,-99.0567989642,19.3491663204
c35,7,Iztapalapa,-99.0567989642,19.3491663204
c36,15,Cuauhtémoc,-99.1490557562,19.4313734294
c37,7,Iztapalapa,-99.0567989642,19.3491663204
c38,10,Álvaro Obregón,-99.246819712,19.336175562
c39,7,Iztapalapa,-99.0567989642,19.3491663204
c40,7,Iztapalapa,-99.0567989642,19.3491663204
c41,6,Iztacalco,-99.137171,19.375769
c42,12,Tlalpan,-99.2062207957,19.1983396763
c43,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c44,10,Álvaro Obregón,-99.186597,19.350361
c45,12,Tlalpan,-99.2062207957,19.1983396763
c46,7,Iztapalapa,-99.0567989642,19.3491663204
c47,2,Azcapotzalco,-99.1821069423,19.4853286147
c48,15,Cuauhtémoc,-99.1490557562,19.4313734294
c49,7,Iztapalapa,-99.0567989642,19.3491663204
c50,2,Azcapotzalco,-99.1821069423,19.4853286147
c51,10,Álvaro Obregón,-99.246819712,19.336175562
c52,15,Cuauhtémoc,-99.259495,19.3863707
c53,14,Benito Juárez,-99.1611346584,19.3806424162
c54,13,Xochimilco,-99.0903636045,19.2451450458
c55,10,Álvaro Obregón,-99.1919955,19.357102
c56,2,Azcapotzalco,-99.1821069423,19.4853286147
c57,16,Miguel Hidalgo,-99.1765034,19.420946
c58,7,Iztapalapa,-99.0567989642,19.3491663204
c59,15,Cuauhtémoc,-99.1490557562,19.4313734294
c60,13,Xochimilco,-99.0903636045,19.2451450458
c61,7,Iztapalapa,-99.0567989642,19.3491663204
c62,2,Azcapotzalco,-99.1821069423,19.4853286147
c63,12,Tlalpan,-99.2062207957,19.1983396763
c64,11,Tláhuac,-99.0028216137,19.2769983772
c65,2,Azcapotzalco,-99.1821069423,19.4853286147
c66,13,Xochimilco,-99.0903636045,19.2451450458
c67,16,Miguel Hidalgo,-99.1843501,19.3998346
c68,13,Xochimilco,-99.0903636045,19.2451450458
c69,12,Tlalpan,-99.2062207957,19.1983396763
c70,12,Tlalpan,-99.2062207957,19.1983396763
c71,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c72,2,Azcapotzalco,-99.1821069423,19.4853286147
c73,11,Tláhuac,-99.0028216137,19.2769983772
c74,14,Benito Juárez,-99.1611346584,19.3806424162
c75,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c76,15,Cuauhtémoc,-99.259495,19.3863707
c77,13,Xochimilco,-99.0903636045,19.2451450458
c78,13,Xochimilco,-99.0903636045,19.2451450458
c79,13,Xochimilco,-99.0903636045,19.2451450458
c80,13,Xochimilco,-99.0903636045,19.2451450458
c81,3,Coyoacán,-99.1503763525,19.3266672536
c82,13,Xochimilco,-99.0903636045,19.2451450458
c83,13,Xochimilco,-99.0903636045,19.2451450458
c84,15,Cuauhtémoc,-99.259495,19.3863707
c85,12,Tlalpan,-99.2058092,19.2970107
c86,10,Álvaro Obregón,-99.1919955,19.357102
c87,15,Cuauhtémoc,-99.1490557562,19.4313734294
c88,13,Xochimilco,-99.0903636045,19.2451450458
c89,2,Azcapotzalco,-99.1821069423,19.4853286147
c90,10,Álvaro Obregón,-99.246819712,19.336175562
c91,16,Miguel Hidalgo,-99.180678,19.444937
c92,16,Miguel Hidalgo,-99.1843501,19.3998346
c93,15,Cuauhtémoc,-99.1490557562,19.4313734294
c94,7,Iztapalapa,-99.0567989642,19.3491663204
c95,2,Azcapotzalco,-99.1821069423,19.4853286147
c96,2,Azcapotzalco,-99.1821069423,19.4853286147
c97,14,Benito Juárez,-99.1611346584,19.3806424162
c98,2,Azcapotzalco,-99.1821069423,19.4853286147
c99,14,Benito Juárez,-99.1611346584,19.3806424162
c100,10,Álvaro Obregón,-99.1919955,19.357102
c101,12,Tlalpan,-99.2062207957,19.1983396763
c102,13,Xochimilco,-99.0903636045,19.2451450458
c103,11,Tláhuac,-99.0028216137,19.2769983772
c104,13,Xochimilco,-99.0903636045,19.2451450458
c105,16,Miguel Hidalgo,-99.22640906287084,19.431496572424045
c106,12,Tlalpan,-99.2062207957,19.1983396763
c107,13,Xochimilco,-99.0903636045,19.2451450458
c108,7,Iztapalapa,-99.0567989642,19.3491663204
c109,2,Azcapotzalco,-99.1821069423,19.4853286147
c110,2,Azcapotzalco,-99.1821069423,19.4853286147
c111,2,Azcapotzalco,-99.1821069423,19.4853286147
c112,2,Azcapotzalco,-99.1821069423,19.4853286147
c113,7,Iztapalapa,-99.0567989642,19.3491663204
c114,2,Azcapotzalco,-99.1821069423,19.4853286147
c115,12,Tlalpan,-99.140238,19.2846922
c116,4,Cuajimalpa de Morelos,-99.3107285253,19.3246343001
c117,2,Azcapotzalco,-99.1821069423,19.4853286147
c118,13,Xochimilco,-99.0903636045,19.2451450458
c119,2,Azcapotzalco,-99.1821069423,19.4853286147
c120,7,Iztapalapa,-99.0567989642,19.3491663204
c121,2,Azcapotzalco,-99.1821069423,19.4853286147
c122,2,Azcapotzalco,-99.1821069423,19.4853286147
c123,16,Miguel Hidalgo,-99.1843501,19.3998346
c124,2,Azcapotzalco,-99.1821069423,19.4853286147
c125,3,Coyoacán,-99.1429637,19.3077445
c126,2,Azcapotzalco,-99.1821069423,19.4853286147
c127,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c128,7,Iztapalapa,-99.0567989642,19.3491663204
c129,2,Azcapotzalco,-99.1821069423,19.4853286147
c130,7,Iztapalapa,-99.0567989642,19.3491663204
c131,2,Azcapotzalco,-99.1821069423,19.4853286147
c132,11,Tláhuac,-99.0028216137,19.2769983772
c133,15,Cuauhtémoc,-99.16878171588095,19.436181641664845
c134,2,Azcapotzalco,-99.1821069423,19.4853286147
c135,11,Tláhuac,-99.0028216137,19.2769983772
c136,15,Cuauhtémoc,-99.1490557562,19.4313734294
c137,12,Tlalpan,-99.2062207957,19.1983396763
c138,2,Azcapotzalco,-99.1821069423,19.4853286147
c139,2,Azcapotzalco,-99.1821069423,19.4853286147
c140,3,Coyoacán,-99.1503763525,19.3266672536
c141,7,Iztapalapa,-99.0567989642,19.3491663204
c142,12,Tlalpan,-99.2062207957,19.1983396763
c143,7,Iztapalapa,-99.0567989642,19.3491663204
c144,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c145,2,Azcapotzalco,-99.1821069423,19.4853286147
c146,16,Miguel Hidalgo,-99.1843501,19.3998346
c147,15,Cuauhtémoc,-99.259495,19.3863707
c148,16,Miguel Hidalgo,-99.1843501,19.3998346
c149,2,Azcapotzalco,-99.1821069423,19.4853286147
c150,13,Xochimilco,-99.0903636045,19.2451450458
