pubID,tokens,mentions,hashtags
1080014661171511296,"reportar, incendio, escuela, av, bordo, esquina, hidalgo, colonia, equipamiento, colegio, mexico, compañero, estacion, tlalpan, acudir, lugar, bordo, tanque, 02-15, camioneta, 04-80, precaución, zona",,"FelizAñoNuevo, YoSoyBombero, CDMX"
1080179126734995456,"servicio, emergencia, trabajar, incendio, vehículo, av, gran, canal, san, juan, aragon, col, josé, maría, morelos, pavón, gam",,"Precaución, C5"
1081015412383465472,"hoy, eje, norte, principal, vialidad, ciudad, invadido, totalmente, cero, servicio, emergencia, etc, cuál, cambio, cuál, mejorar","lopezobrador_, Claudiashein, nenulo, DuniaLudlow, Milenio, El_Universal_Mx","Tráfico, contaminación, impunidad, ambulants"
1081337126011236352,"urgir, sistema, transporte, obligatorio, venustiano, carranza, gran, impacto, disminuir, tráfico, contaminación, zona, centro, urgir",Claudiashein,
1081620564442255360,"reportar, accidente, glorieta, luna, entronque, av, cuauhtemoc, dirección, centro, originar, tráfico, maneje, precaución",,Precaución
1081979698266030080,"entender, si, contaminación, nivel, impactant, porqué, gente, hacer, ciclotrón, calle, cerrado, hacer, tráfico, tornar, cuentes, iglesia, cao, dominical, benito, juarez","C5_CDMX, Claudiashein",
1082030541522780162,"buena, tarde, solo, reportar, incendio, av, torres, frente, colonia, nueva, oxtotitlan, reyes, heroes, venustiano, carranza",,
1082061511324041216,"reportar, incendio, escuela, 16, septiembre, esquina, novela, colonia, xaltocan, compañero, estacion, xochimilco, dirigir, lugar, bordo, bomba, 00-85, precaución, zona",,"FelicesReyesMagos, CDMX, YoSoyBombero"
1082061965424582657,"compañero, estacion, tlalpan, dirigir, incendio, casa, nogales, esquina, circuito, san, agustin, colonia, parque, nacional, bordo, camioneta, 07-33, tanque, 02-68, precaución, zona",,"FelicesReyesMagos, CDMX, YoSoyBombero"
1082105548374532096,"reportar, incendio, casa, membrillo, esquina, privado, membrillo, colonia, banda, bomberos, estacion, magdalena, contreras, aproximar, lugar, bordo, bomba, 00-80, tanque, 02-41, precaución, zona",,"FelicesReyesMagos, CDMX, YoSoyBombero"
1082140085997322240,"precaución, incendio, departamento, chihuahua, veracruz, colonia, progreso, alvaro, obregon",,
1082164778699771904,"reportar, quemar, basura, manuel, acuña, 171, sacada, iztapalapa, llevar, 6, pm, ahorita, pido, acudir, humo, olor",OVIALCDMX,
1082534406059900930,"urgir, orden, eje, 10, sur, col, banda, alcaldía, alvaro, obregon, restaurante, bar, operar, violar, diario, reglamento, tránsito, poner, alto, establecimiento, fomentar","SSP_CDMX, Claudiashein, UCS_GCDMX, Excelsior, Radio_Formula, OVIALCDMX, EfektoNoticias, UnoNoticias, Milenio, LaCronicaDeHoy, ImagenTVMex, MeganoticiasTVC",
1082732124661338112,"si, preocupar, medio, ambiente, sr, alcalde, venir, quitar, trailer, doble, fila, vallejo, causar, trafico, generar, contaminacion, tambien, venir, recoger, todo, basura, casado, tronco, arbol, caido, aqui","vidallerenas, PrensaVidal, Azcapotzalco_",
1082741297809686528,"medio, querer, reportar, enorme, bache, ubicado, fafafa, esq, fresno, berenjena, esq, chirimoya, lomas, manto, iztapalapa, ambos, enorme, tráfico, vehicular, semana, deterioro, esperar, atender, posible, gracias","Alc_Iztapalapa, locatel_mx",
1082785561004425216,"alcaldía, alvaro, obregon, preferir, poner, maceta, generar, tráfico, contaminación, arreglar, calle, decorar, bache, maceta, fujiyama, calzada, leones, 4o, decoración",daogobmx,
