dateID,pubDate,pubYear,pubMonth,pubDay,pubHour,pubMinute
d1,2019-01-01 02:15:35,2019,1,1,2,15
d2,2019-01-01 13:09:07,2019,1,1,13,9
d3,2019-01-02 20:05:05,2019,1,2,20,5
d4,2019-01-03 20:32:13,2019,1,3,20,32
d5,2019-01-04 17:50:35,2019,1,4,17,50
d6,2019-01-05 12:36:52,2019,1,5,12,36
d7,2019-01-06 12:23:56,2019,1,6,12,23
d8,2019-01-06 15:45:58,2019,1,6,15,45
d9,2019-01-06 17:49:02,2019,1,6,17,49
d10,2019-01-06 17:50:50,2019,1,6,17,50
d11,2019-01-06 20:44:01,2019,1,6,20,44
d12,2019-01-06 23:01:16,2019,1,6,23,1
d13,2019-01-07 00:39:23,2019,1,7,0,39
d14,2019-01-07 16:16:10,2019,1,7,16,16
d15,2019-01-08 01:08:09,2019,1,8,1,8
d16,2019-01-08 09:26:29,2019,1,8,9,26
d17,2019-01-08 14:13:49,2019,1,8,14,13
d18,2019-01-08 14:50:16,2019,1,8,14,50
d19,2019-01-08 17:46:09,2019,1,8,17,46
d20,2019-01-08 22:24:22,2019,1,8,22,24
d21,2019-01-09 05:33:55,2019,1,9,5,33
d22,2019-01-09 17:36:23,2019,1,9,17,36
d23,2019-01-09 22:31:13,2019,1,9,22,31
d24,2019-01-10 13:20:58,2019,1,10,13,20
d25,2019-01-11 21:27:12,2019,1,11,21,27
d26,2019-01-12 11:52:32,2019,1,12,11,52
d27,2019-01-13 11:22:43,2019,1,13,11,22
d28,2019-01-13 12:02:12,2019,1,13,12,2
d29,2019-01-13 13:41:16,2019,1,13,13,41
d30,2019-01-15 12:54:12,2019,1,15,12,54
d31,2019-01-17 08:13:28,2019,1,17,8,13
d32,2019-01-17 21:45:10,2019,1,17,21,45
d33,2019-01-18 11:10:28,2019,1,18,11,10
d34,2019-01-18 12:18:29,2019,1,18,12,18
d35,2019-01-19 19:38:54,2019,1,19,19,38
d36,2019-01-21 20:24:25,2019,1,21,20,24
d37,2019-01-22 21:57:56,2019,1,22,21,57
d38,2019-01-23 07:38:11,2019,1,23,7,38
d39,2019-01-23 09:27:23,2019,1,23,9,27
d40,2019-01-23 10:58:57,2019,1,23,10,58
d41,2019-01-23 11:49:43,2019,1,23,11,49
d42,2019-01-24 06:39:48,2019,1,24,6,39
d43,2019-01-24 15:20:00,2019,1,24,15,20
d44,2019-01-24 19:21:11,2019,1,24,19,21
d45,2019-01-24 20:18:36,2019,1,24,20,18
d46,2019-01-25 09:07:58,2019,1,25,9,7
d47,2019-01-25 18:50:55,2019,1,25,18,50
d48,2019-01-27 12:59:39,2019,1,27,12,59
d49,2019-01-28 12:14:27,2019,1,28,12,14
