geoID,geoName,coordinateID
12,Tlalpan,c1
5,Gustavo A. Madero,c2
14,Benito Juárez,c3
10,Álvaro Obregón,c4
17,Venustiano Carranza,c5
15,Cuauhtémoc,c6
14,Benito Juárez,c7
17,Venustiano Carranza,c8
13,Xochimilco,c9
12,Tlalpan,c10
8,La Magdalena Contreras,c11
10,Álvaro Obregón,c12
7,Iztapalapa,c13
13,Xochimilco,c14
10,Álvaro Obregón,c15
17,Venustiano Carranza,c16
2,Azcapotzalco,c17
7,Iztapalapa,c18
10,Álvaro Obregón,c19
2,Azcapotzalco,c20
5,Gustavo A. Madero,c21
14,Benito Juárez,c22
12,Tlalpan,c23
16,Miguel Hidalgo,c24
16,Miguel Hidalgo,c25
16,Miguel Hidalgo,c26
12,Tlalpan,c27
12,Tlalpan,c28
16,Miguel Hidalgo,c29
4,Cuajimalpa de Morelos,c30
3,Coyoacán,c31
12,Tlalpan,c32
13,Xochimilco,c33
2,Azcapotzalco,c34
4,Cuajimalpa de Morelos,c35
16,Miguel Hidalgo,c36
12,Tlalpan,c37
12,Tlalpan,c38
16,Miguel Hidalgo,c39
7,Iztapalapa,c40
7,Iztapalapa,c41
15,Cuauhtémoc,c42
15,Cuauhtémoc,c43
7,Iztapalapa,c44
10,Álvaro Obregón,c45
7,Iztapalapa,c46
7,Iztapalapa,c47
6,Iztacalco,c48
12,Tlalpan,c49
16,Miguel Hidalgo,c50
10,Álvaro Obregón,c51
12,Tlalpan,c52
7,Iztapalapa,c53
12,Tlalpan,c54
2,Azcapotzalco,c55
15,Cuauhtémoc,c56
7,Iztapalapa,c57
2,Azcapotzalco,c58
10,Álvaro Obregón,c59
15,Cuauhtémoc,c60
14,Benito Juárez,c61
13,Xochimilco,c62
10,Álvaro Obregón,c63
2,Azcapotzalco,c64
16,Miguel Hidalgo,c65
7,Iztapalapa,c66
15,Cuauhtémoc,c67
13,Xochimilco,c68
7,Iztapalapa,c69
2,Azcapotzalco,c70
12,Tlalpan,c71
11,Tláhuac,c72
2,Azcapotzalco,c73
13,Xochimilco,c74
16,Miguel Hidalgo,c75
13,Xochimilco,c76
12,Tlalpan,c77
12,Tlalpan,c78
5,Gustavo A. Madero,c79
2,Azcapotzalco,c80
11,Tláhuac,c81
14,Benito Juárez,c82
5,Gustavo A. Madero,c83
15,Cuauhtémoc,c84
13,Xochimilco,c85
13,Xochimilco,c86
13,Xochimilco,c87
13,Xochimilco,c88
3,Coyoacán,c89
13,Xochimilco,c90
13,Xochimilco,c91
15,Cuauhtémoc,c92
15,Cuauhtémoc,c93
