pubID,topicQuery,likeCount,replyCount,retweetCount,authorID,dateID,coordinateID
1080014661171511296,incendio,88,0,39,1026582354851246080,d1,c1
1080179126734995456,incendio,64,0,23,195951901,d2,c2
1081015412383465472,tránsito,0,0,0,870146764480757760,d3,c3
1081337126011236352,tránsito,0,0,0,3027660039,d4,c4
1081620564442255360,tránsito,0,0,0,2169379734,d5,c5
1081979698266030080,tránsito,0,0,0,852438433,d6,c6
1082030541522780162,incendio,1,0,1,128765996,d7,c7
1082061511324041216,incendio,106,0,51,1026582354851246080,d8,c8
1082061965424582657,incendio,93,0,37,1026582354851246080,d9,c9
1082105548374532096,incendio,94,0,39,1026582354851246080,d10,c10
1082140085997322240,incendio,14,1,12,87350793,d11,c11
1082164778699771904,incendio,0,1,0,245414986,d12,c12
1082534406059900930,tránsito,0,0,0,1060876809993183233,d13,c13
1082732124661338112,tránsito,3,0,3,170366148,d14,c14
1082741297809686528,tránsito,0,1,0,1037711864,d15,c15
1082785561004425216,tránsito,0,0,0,703758800503767040,d16,c16
1082855574214045697,tránsito,0,0,0,257236830,d17,c17
1082963674573299713,incendio,12,0,4,195951901,d18,c18
1083219688421761024,incendio,0,0,0,124540574,d19,c19
1083443599126261760,tránsito,0,0,0,3832749620,d20,c20
1083928352862425088,tránsito,5,0,0,1618286407,d21,c21
1084146122111766529,tránsito,1,0,1,3290590946,d22,c22
1084501005545496576,incendio,13,0,2,195951901,d23,c23
1084510942291910656,incendio,8,1,5,293063533,d24,c24
1084535871829733376,tránsito,0,0,0,352712579,d25,c25
1085248803681255424,tránsito,0,2,0,82202570,d26,c26
1085902931671613440,incendio,1,0,2,539317712,d27,c27
1086107202526564353,tránsito,0,3,0,1083485392979066883,d28,c28
1086309864421425157,tránsito,0,0,0,744649906753703936,d29,c29
1086326977831653376,incendio,19,0,7,195951901,d30,c30
1086800203615817732,tránsito,1,0,0,594254451,d31,c31
1087922354641092608,tránsito,0,2,0,1083485392979066883,d32,c32
1088068380446343168,tránsito,0,0,0,229730773,d33,c33
1088118904965263360,incendio,10,0,3,293063533,d34,c34
1088131677862416385,tránsito,0,0,0,177730590,d35,c35
1088416073043660800,tránsito,0,2,0,4384974203,d36,c36
1088607683106795522,tránsito,1,0,0,1024121354931585024,d37,c37
1088622131653439489,tránsito,3,0,1,117997817,d38,c38
1088815750855487490,tránsito,4,1,3,1024121354931585024,d39,c39
1088962452304220160,tránsito,3,1,3,580408959,d40,c40
1089598831753334784,tránsito,0,0,0,392267545,d41,c41
1089949842053521408,incendio,1,0,0,4882567385,d42,c42
1089952860270481408,incendio,86,2,34,195951901,d43,c43
1090340920271228929,tránsito,0,0,0,278615043,d44,c44
1090351949961154560,incendio,4,2,5,906126334698459136,d45,c45
1090669307166507008,incendio,0,0,0,135137502,d46,c46
1090767518002790400,tránsito,0,1,0,903097695899934725,d47,c47
1090785552046190594,tránsito,0,1,0,4384974203,d48,c48
1091505928862556160,tránsito,0,2,0,124197448,d49,c49
1091514811341430785,tránsito,1,0,1,1091505356478459904,d50,c50
1092836045752803332,tránsito,1,0,0,198033293,d51,c51
1092897946033577984,tránsito,3,3,1,1056974464607490048,d52,c52
1092931525660811265,tránsito,0,0,0,175922142,d53,c53
1093616350151561218,incendio,0,1,0,2878333274,d54,c54
1093675056297857024,tránsito,0,0,0,3293707669,d55,c55
1093955245519110144,tránsito,0,0,0,907034630095867905,d56,c56
1093982946405568513,tránsito,4,2,8,944093036652273664,d57,c57
1094111068992032768,tránsito,0,0,0,547904626,d58,c58
1094701649606586369,incendio,4,2,10,102797694,d59,c59
1094945777837883392,tránsito,1,1,1,346787085,d60,c60
1095056518385467397,tránsito,0,2,0,3306389023,d61,c61
1095427615786188802,tránsito,0,0,0,903097695899934725,d62,c62
1095737926636523520,tránsito,0,0,0,990013299898056709,d63,c63
1095748181655048192,incendio,1,0,2,900122660537077762,d64,c64
1095812958553280517,tránsito,0,2,0,73550141,d65,c65
1095993653690945537,tránsito,0,0,0,4716158412,d66,c66
1096565753275400192,tránsito,2,0,1,281316561,d67,c67
1096578329778446336,incendio,0,0,0,1347278918,d68,c68
1096908154737176577,incendio,4,0,3,415242374,d69,c69
1097023296426524673,tránsito,0,0,0,743878493277028352,d70,c70
1097151057736671238,incendio,2,0,1,293063533,d71,c71
