pivotID,pubID,topicID,prevalence
t1,1080014661171511296,3,0.9872543
t2,1080179126734995456,3,0.9911827
t3,1081015412383465472,3,0.98260355
t4,1081337126011236352,2,0.44839424
t5,1081337126011236352,3,0.54084945
t6,1081620564442255360,2,0.16018404
t7,1081620564442255360,3,0.6816147
t8,1081620564442255360,4,0.15615088
t9,1081979698266030080,2,0.5389001
t10,1081979698266030080,3,0.4522607
t11,1082030541522780162,3,0.9872542
t12,1082061511324041216,3,0.9826038
t13,1082061965424582657,3,0.98600733
t14,1082105548374532096,2,0.37659857
t15,1082105548374532096,3,0.4997809
t16,1082105548374532096,4,0.121905714
t17,1082140085997322240,3,0.9726103
t18,1082140085997322240,4,0.014981773
t19,1082164778699771904,3,0.97701216
t20,1082164778699771904,4,0.0125738345
t21,1082534406059900930,2,0.25033352
t22,1082534406059900930,3,0.74355143
t23,1082732124661338112,2,0.7670269
t24,1082732124661338112,3,0.22485678
t25,1082741297809686528,3,0.98918205
t26,1082785561004425216,3,0.9882971
t27,1082855574214045697,1,0.075890176
t28,1082855574214045697,3,0.91412157
t29,1082963674573299713,3,0.9911825
t30,1083219688421761024,1,0.01714695
t31,1083219688421761024,2,0.8540065
t32,1083219688421761024,3,0.064837724
t33,1083219688421761024,4,0.06400886
t34,1083443599126261760,2,0.6086669
t35,1083443599126261760,3,0.38057682
t36,1083928352862425088,2,0.98539996
t37,1084146122111766529,3,0.980195
t38,1084146122111766529,4,0.010833008
t39,1084501005545496576,3,0.9860073
t40,1084510942291910656,2,0.010382957
t41,1084510942291910656,3,0.96612346
t42,1084510942291910656,4,0.018529711
t43,1084535871829733376,2,0.94462097
t44,1084535871829733376,3,0.024594683
t45,1084535871829733376,4,0.024280105
t46,1085248803681255424,2,0.9840988
t47,1085902931671613440,2,0.013605261
t48,1085902931671613440,3,0.9556088
t49,1085902931671613440,4,0.02428163
t50,1086107202526564353,2,0.59086907
t51,1086107202526564353,3,0.40162867
t52,1086309864421425157,3,0.98019415
t53,1086309864421425157,4,0.010833481
t54,1086326977831653376,3,0.98829716
t55,1086800203615817732,2,0.5679173
t56,1086800203615817732,3,0.42324322
t57,1087922354641092608,3,0.987254
t58,1088068380446343168,2,0.97529155
t59,1088068380446343168,3,0.01097353
t60,1088068380446343168,4,0.010832964
t61,1088118904965263360,2,0.01038321
t62,1088118904965263360,3,0.9661226
t63,1088118904965263360,4,0.018530164
t64,1088131677862416385,3,0.9872536
t65,1088416073043660800,2,0.6882154
t66,1088416073043660800,3,0.30366832
t67,1088607683106795522,2,0.9806503
t68,1088622131653439489,3,0.9906035
t69,1088815750855487490,2,0.5526432
t70,1088815750855487490,3,0.4385174
t71,1088962452304220160,3,0.9844901
t72,1089598831753334784,3,0.9860071
t73,1089949842053521408,3,0.9826038
t74,1089952860270481408,3,0.9801953
t75,1089952860270481408,4,0.010832749
t76,1090340920271228929,2,0.9577354
t77,1090340920271228929,3,0.018770432
t78,1090340920271228929,4,0.018530162
t79,1090351949961154560,3,0.97701174
t80,1090351949961154560,4,0.012574059
t81,1090669307166507008,2,0.6341776
t82,1090669307166507008,3,0.0245947
t83,1090669307166507008,4,0.3347234
t84,1090767518002790400,1,0.99511606
t85,1090785552046190594,2,0.6096368
t86,1090785552046190594,3,0.37960693
t87,1091505928862556160,3,0.98725414
t88,1091514811341430785,2,0.978296
t89,1092836045752803332,2,0.34898457
t90,1092836045752803332,3,0.64655155
t91,1092897946033577984,2,0.9840977
t92,1092931525660811265,3,0.9801942
t93,1092931525660811265,4,0.010833456
t94,1093616350151561218,3,0.9906034
t95,1093675056297857024,2,0.54074126
t96,1093675056297857024,3,0.45114246
t97,1093955245519110144,1,0.9945912
t98,1093982946405568513,2,0.836783
t99,1093982946405568513,3,0.010973433
t100,1093982946405568513,4,0.14934157
t101,1094111068992032768,3,0.919609
t102,1094111068992032768,4,0.075834855
t103,1094701649606586369,2,0.5232989
t104,1094701649606586369,3,0.4669969
t105,1094945777837883392,2,0.6579131
t106,1094945777837883392,3,0.33133063
t107,1095056518385467397,2,0.29743794
t108,1095056518385467397,3,0.5950109
t109,1095056518385467397,4,0.10550087
t110,1095427615786188802,1,0.9945912
t111,1095737926636523520,2,0.9840986
t112,1095748181655048192,3,0.9770116
t113,1095748181655048192,4,0.012574147
t114,1095812958553280517,3,0.9801949
t115,1095812958553280517,4,0.010832942
t116,1095993653690945537,2,0.98745286
t117,1096565753275400192,2,0.593549
t118,1096565753275400192,3,0.39833465
t119,1096578329778446336,2,0.5520505
t120,1096578329778446336,3,0.4398333
t121,1096908154737176577,3,0.98449
t122,1097023296426524673,3,0.97701174
t123,1097023296426524673,4,0.012574222
t124,1097151057736671238,3,0.9891822
t125,1097929883420971008,1,0.9952317
t126,1097933588199366662,3,0.9872542
t127,1098029729683255296,3,0.9872543
t128,1098036477068484609,3,0.82196766
t129,1098036477068484609,4,0.17015131
t130,1098098315483320320,3,0.9826031
t131,1098314498257997824,3,0.98600703
t132,1098325707053248512,3,0.977012
t133,1098325707053248512,4,0.012574086
t134,1098352948193775616,2,0.91970164
t135,1098352948193775616,3,0.035661887
t136,1098352948193775616,4,0.03520547
t137,1098357539903864832,2,0.013605202
t138,1098357539903864832,3,0.9556103
t139,1098357539903864832,4,0.024280218
t140,1098370465326870528,3,0.9860072
t141,1098383733420445703,2,0.9752908
t142,1098383733420445703,3,0.010973909
t143,1098383733420445703,4,0.010833259
t144,1098438655981617152,2,0.9197016
t145,1098438655981617152,3,0.035661828
t146,1098438655981617152,4,0.035205536
t147,1098603986406596608,2,0.85007465
t148,1098603986406596608,3,0.14022116
t149,1098607951856746496,2,0.01038359
t150,1098607951856746496,3,0.9661207
t151,1098607951856746496,4,0.018531563
t152,1098614527820791810,2,0.931608
t153,1098614527820791810,4,0.062573455
t154,1098718921329324032,2,0.98065054
t155,1098723225972879360,2,0.91970176
t156,1098723225972879360,3,0.03566182
t157,1098723225972879360,4,0.035205472
t158,1099100368531832839,1,0.99511606
t159,1099742610204356610,3,0.98600745
t160,1100026547904438272,2,0.9658296
t161,1100026547904438272,3,0.015175624
t162,1100026547904438272,4,0.014981488
t163,1100179248348708865,2,0.01360533
t164,1100179248348708865,3,0.95560855
t165,1100179248348708865,4,0.024281755
t166,1100277115516264448,2,0.63416904
t167,1100277115516264448,3,0.024595309
t168,1100277115516264448,4,0.33473134
t169,1100477906340450310,3,0.98600733
t170,1100770550836879360,1,0.995825
t171,1100913591253901314,1,0.99511606
t172,1100939092039217159,3,0.982604
t173,1101014878561624064,3,0.9844901
t174,1101119542149947397,3,0.98260343
t175,1101371443923828737,3,0.98019505
t176,1101371443923828737,4,0.010832881
t177,1102401010453094401,3,0.9196158
t178,1102401010453094401,4,0.07582808
t179,1102655127821971456,2,0.91970176
t180,1102655127821971456,3,0.03566182
t181,1102655127821971456,4,0.03520547
t182,1102660041209860096,2,0.010382958
t183,1102660041209860096,3,0.96612346
t184,1102660041209860096,4,0.018529713
t185,1102672664815009792,3,0.98449004
t186,1102751163827404800,2,0.82639
t187,1102751163827404800,3,0.16390577
t188,1102958222636400642,3,0.98918223
t189,1102984139970674696,3,0.989182
t190,1103123137485570050,2,0.89495844
t191,1103123137485570050,4,0.0961118
t192,1103433297252831232,1,0.9972124
t193,1103439299423416322,1,0.9972124
t194,1103472468126257152,1,0.9972124
t195,1103477839511326720,1,0.9972124
t196,1104036202242625536,2,0.42018166
t197,1104036202242625536,3,0.563876
t198,1104036202242625536,4,0.012573951
t199,1104492675015811073,1,0.476502
t200,1104492675015811073,2,0.29248238
t201,1104492675015811073,3,0.14939927
t202,1104492675015811073,4,0.08161634
t203,1104626088372629505,3,0.9826039
t204,1105110393997815808,2,0.5542705
t205,1105110393997815808,3,0.23511292
t206,1105110393997815808,4,0.20660317
t207,1105206359904215042,1,0.997049
t208,1105213662371885057,2,0.5993975
t209,1105213662371885057,3,0.3816072
t210,1105213662371885057,4,0.014981889
t211,1105261884905832448,1,0.997049
t212,1105773217329745920,3,0.9860075
t213,1106213078843224065,1,0.99700505
t214,1106257966112694272,1,0.9972124
t215,1106271380952084481,2,0.9825433
t216,1106394363716866049,1,0.9969598
